Shipment,Region Name,Soldto Name,Shipto Name,Last Tender,Plan Accept,Last Accept,Shipping Point,Carrier Id,Truck Type,Reason,Remark
220265636,ภาคตะวันออก,บริษัท กระเบื้องกระดาษไทย จำกัด,บกด.ท่าหลวง,25/7/2559 14:57,25/7/2559 18:00,3/8/2559 14:15,1303,107425,18CT,งานทยอยส่ง,
220265637,ภาคตะวันออก,บริษัท กระเบื้องกระดาษไทย จำกัด,บกด.ท่าหลวง,25/7/2559 14:57,25/7/2559 18:00,3/8/2559 14:15,1303,107425,18CT,งานทยอยส่ง,
220265638,ภาคตะวันออก,บริษัท กระเบื้องกระดาษไทย จำกัด,บกด.ท่าหลวง,25/7/2559 14:57,25/7/2559 18:00,3/8/2559 14:16,1303,107425,18CT,งานทยอยส่ง,
220265639,ภาคตะวันออก,บริษัท กระเบื้องกระดาษไทย จำกัด,บกด.ท่าหลวง,25/7/2559 14:57,25/7/2559 18:00,3/8/2559 14:16,1303,107425,18CT,งานทยอยส่ง,
220265640,ภาคตะวันออก,บริษัท กระเบื้องกระดาษไทย จำกัด,บกด.ท่าหลวง,25/7/2559 14:57,25/7/2559 18:00,3/8/2559 14:16,1303,107425,18CT,งานทยอยส่ง,
220269256,ภาคตะวันออก,บริษัท กระเบื้องกระดาษไทย จำกัด,บกด.ท่าหลวง,26/7/2559 13:29,26/7/2559 18:00,1/8/2559 10:34,1303,107425,18CT,งานทยอยส่ง,
220269257,ภาคตะวันออก,บริษัท กระเบื้องกระดาษไทย จำกัด,บกด.ท่าหลวง,26/7/2559 13:29,26/7/2559 18:00,1/8/2559 10:35,1303,107425,18CT,งานทยอยส่ง,
220269258,ภาคตะวันออก,บริษัท กระเบื้องกระดาษไทย จำกัด,บกด.ท่าหลวง,26/7/2559 13:30,26/7/2559 18:00,1/8/2559 10:35,1303,107425,18CT,งานทยอยส่ง,
220269259,ภาคตะวันออก,บริษัท กระเบื้องกระดาษไทย จำกัด,บกด.ท่าหลวง,26/7/2559 13:30,26/7/2559 18:00,1/8/2559 10:35,1303,107425,18CT,งานทยอยส่ง,
220269260,ภาคตะวันออก,บริษัท กระเบื้องกระดาษไทย จำกัด,บกด.ท่าหลวง,26/7/2559 13:30,26/7/2559 18:00,1/8/2559 10:35,1303,107425,18CT,งานทยอยส่ง,
220269261,ภาคตะวันออก,บริษัท กระเบื้องกระดาษไทย จำกัด,บกด.ท่าหลวง,26/7/2559 13:30,26/7/2559 18:00,1/8/2559 10:36,1303,107425,18CT,งานทยอยส่ง,
220273784,ภาคตะวันออก,บริษัท กระเบื้องกระดาษไทย จำกัด,บกด.ท่าหลวง,27/7/2559 14:51,27/7/2559 18:00,3/8/2559 15:54,1303,107425,18CT,งานทยอยส่ง,
220273785,ภาคตะวันออก,บริษัท กระเบื้องกระดาษไทย จำกัด,บกด.ท่าหลวง,27/7/2559 14:51,27/7/2559 18:00,3/8/2559 15:55,1303,107425,18CT,งานทยอยส่ง,
220273786,ภาคตะวันออก,บริษัท กระเบื้องกระดาษไทย จำกัด,บกด.ท่าหลวง,27/7/2559 14:51,27/7/2559 18:00,3/8/2559 15:55,1303,107425,18CT,งานทยอยส่ง,
220273787,ภาคตะวันออก,บริษัท กระเบื้องกระดาษไทย จำกัด,บกด.ท่าหลวง,27/7/2559 14:51,27/7/2559 18:00,3/8/2559 15:55,1303,107425,18CT,งานทยอยส่ง,
